CSO_LEA,Cities,Satellite urban towns,Independent urban towns,Rural areas with high urban influence,Rural areas with moderate urban influence,Highly rural/remote areas
GOREY,0.0,0.0,15759.0,8612.0,5257.0,1273.0
GORT-KINVARA,0.0,1613.0,2842.0,17900.0,2571.0,798.0
GRAIGUECULLEN-PORTARLINGTON,0.0,0.0,11956.0,11244.0,6779.0,657.0
GRANARD,0.0,0.0,0.0,1490.0,4257.0,5704.0
GREYSTONES,0.0,26856.0,0.0,3229.0,0.0,0.0
HOWTH-MALAHIDE,23968.0,40532.0,0.0,4310.0,0.0,0.0
KANTURK,0.0,0.0,6716.0,6068.0,8996.0,4634.0
KELLS,0.0,0.0,9137.0,15033.0,8488.0,1660.0
KENMARE,0.0,0.0,4603.0,664.0,7052.0,14114.0
KILDARE,0.0,0.0,18767.0,9197.0,1643.0,0.0
KILKENNY,0.0,0.0,26697.0,1380.0,1057.0,0.0
KILLALOE,0.0,1637.0,0.0,10336.0,5964.0,3754.0
KILLARNEY,0.0,0.0,13456.0,6699.0,7613.0,2016.0
KILLINEY-SHANKILL,35447.0,3008.0,0.0,468.0,0.0,0.0
KILMUCKRIDGE,0.0,0.0,0.0,4526.0,11077.0,2702.0
KILRUSH,0.0,0.0,2624.0,4594.0,5698.0,9038.0
KIMMAGE-RATHMINES,59019.0,0.0,0.0,0.0,0.0,0.0
KINNEGAD,0.0,3036.0,1568.0,8492.0,7207.0,2914.0
LAYTOWN-BETTYSTOWN,0.0,15542.0,12577.0,10215.0,2059.0,0.0
LEIXLIP,0.0,16258.0,0.0,351.0,0.0,0.0
LETTERKENNY,0.0,0.0,22252.0,3156.0,5341.0,1156.0
LIFFORD-STRANORLAR,0.0,0.0,8605.0,2340.0,7458.0,8216.0
LIMERICK CITY EAST,27366.0,5834.0,0.0,5794.0,172.0,0.0
LIMERICK CITY NORTH,36017.0,0.0,0.0,0.0,0.0,0.0
LIMERICK CITY WEST,33212.0,0.0,0.0,4558.0,214.0,146.0
LISMORE,0.0,0.0,0.0,672.0,7313.0,3297.0
LISTOWEL,0.0,0.0,6322.0,610.0,11253.0,10824.0
LONGFORD,0.0,0.0,10822.0,705.0,3427.0,2200.0
LOUGHREA,0.0,6278.0,1680.0,9309.0,6790.0,1277.0
LUCAN,55186.0,0.0,0.0,206.0,0.0,0.0
MACROOM,601.0,4072.0,1702.0,27751.0,4567.0,852.0
MALLOW,0.0,13370.0,0.0,14463.0,3128.0,343.0
MANORHAMILTON,0.0,0.0,1641.0,395.0,3800.0,5710.0
MAYNOOTH,0.0,25006.0,0.0,9706.0,0.0,0.0
MIDLETON,0.0,17338.0,8494.0,19670.0,3563.0,0.0
MILFORD,0.0,0.0,0.0,1110.0,5244.0,7916.0
MOATE,0.0,0.0,4559.0,9506.0,4669.0,1543.0
MONAGHAN,0.0,0.0,7726.0,1615.0,8007.0,5676.0
MUINEBEAG,0.0,0.0,3203.0,6075.0,4810.0,2373.0
MULLINGAR,0.0,0.0,22470.0,3590.0,1571.0,268.0
NAAS,0.0,36499.0,0.0,8655.0,507.0,0.0
NAVAN,0.0,33707.0,0.0,4992.0,394.0,0.0
NENAGH,0.0,0.0,9813.0,2341.0,8262.0,2759.0
NEW ROSS,0.0,0.0,8207.0,4773.0,11768.0,4890.0
NEWBRIDGE,0.0,28050.0,0.0,9109.0,135.0,0.0
NEWCASTLE WEST,0.0,0.0,9346.0,4619.0,10734.0,4103.0
NEWPORT,0.0,5106.0,0.0,9409.0,2496.0,405.0
NORTH INNER CITY,71266.0,0.0,0.0,0.0,0.0,0.0
ONGAR,43723.0,0.0,0.0,0.0,0.0,0.0
PALMERSTOWN-FONTHILL,21982.0,0.0,0.0,0.0,0.0,0.0
PEMBROKE,44232.0,0.0,0.0,0.0,0.0,0.0
PILTOWN,5726.0,0.0,0.0,12793.0,3914.0,229.0
PORTLAOISE,0.0,0.0,25178.0,6466.0,2550.0,150.0
PORTLAW-KILMACTHOMAS,0.0,1872.0,720.0,7717.0,6443.0,1509.0
RATHFARNHAM-TEMPLEOGUE,52298.0,0.0,0.0,0.0,0.0,0.0
RATOATH,227.0,24637.0,0.0,14004.0,195.0,0.0
ROSCOMMON,0.0,0.0,9612.0,627.0,7470.0,6790.0
ROSCREA-TEMPLEMORE,0.0,0.0,7509.0,3088.0,4868.0,1708.0
ROSSLARE,0.0,0.0,3990.0,2822.0,9395.0,7142.0
RUSH-LUSK,0.0,29158.0,0.0,10489.0,305.0,0.0
SHANNON,4234.0,2814.0,11989.0,10836.0,1201.0,103.0
SKIBBEREEN-WEST CORK,0.0,0.0,9844.0,5786.0,9525.0,7386.0
SLIGO-DRUMCLIFF,0.0,0.0,4118.0,1978.0,7423.0,5017.0
SLIGO-STRANDHILL,0.0,0.0,21586.0,349.0,0.0,578.0
SOUTH EAST INNER CITY,40542.0,0.0,0.0,0.0,0.0,0.0
SOUTH WEST INNER CITY,43727.0,0.0,0.0,0.0,0.0,0.0
STILLORGAN,32190.0,0.0,0.0,0.0,0.0,0.0
SWINFORD,0.0,0.0,0.0,0.0,2809.0,15008.0
SWORDS,6631.0,36341.0,0.0,5167.0,0.0,0.0
TALLAGHT CENTRAL,35866.0,0.0,0.0,0.0,0.0,0.0
TALLAGHT SOUTH,43072.0,0.0,0.0,345.0,0.0,0.0
THURLES,0.0,0.0,8138.0,2300.0,5892.0,3534.0
TRALEE,0.0,0.0,25675.0,3726.0,4294.0,1708.0
TRAMORE-WATERFORD CITY WEST,10882.0,11176.0,0.0,2302.0,172.0,0.0
TRIM,0.0,16681.0,0.0,15475.0,901.0,208.0
TUAM,0.0,9572.0,0.0,19045.0,5870.0,828.0
TULLAMORE,0.0,0.0,18804.0,7062.0,4048.0,794.0
TULLOW,0.0,0.0,5610.0,5516.0,7079.0,1899.0
WATERFORD CITY EAST,17721.0,1702.0,0.0,4697.0,0.0,0.0
WATERFORD CITY SOUTH,25131.0,0.0,0.0,662.0,0.0,0.0
WESTPORT,0.0,0.0,6566.0,1876.0,6563.0,4417.0
WEXFORD,0.0,0.0,23187.0,3499.0,3367.0,1218.0
WICKLOW,0.0,21094.0,0.0,10614.0,516.0,0.0
