OBJECTID,LEA_GUID,LEA_OFFICIAL,CSO_LEA,LEA_ID,COUNTY,Shape__Area,Shape__Length
52,2ae19629-3f5d-13a3-e055-000000000001,Y,CLONTARF,13260427,DUBLIN,14942167.4900818,27871.6873552873
53,2ae19629-3f67-13a3-e055-000000000001,Y,COBH,1340404,CORK,296653128.962067,140262.212028033
54,2ae19629-3f48-13a3-e055-000000000001,Y,CONAMARA NORTH,1360400,GALWAY,1525683719.04282,1039606.76226943
55,2ae19629-3ef4-13a3-e055-994560000001,Y,CONAMARA SOUTH,1360406,GALWAY,533307364.51416,502112.823447602
56,2ae19629-3ef4-13a3-e055-883360000001,Y,CORCA DHUIBHNE,1370404,KERRY,657546727.072311,413565.57885781
57,2ae19629-3ef4-13a3-e055-999440000001,Y,CORK CITY NORTH EAST,1340411,CORK,41031152.9963074,31387.4134130582
58,2ae19629-3ef4-13a3-e055-774560000001,Y,CORK CITY NORTH WEST,1340410,CORK,57592439.2846069,42142.6002812464
59,2ae19629-3ef4-13a3-e055-000001100001,Y,CORK CITY SOUTH CENTRAL,1340413,CORK,16890035.1854553,25382.2668131219
60,2ae19629-3ef4-13a3-e055-999990000001,Y,CORK CITY SOUTH EAST,1340412,CORK,32191221.4949646,28578.0354393802
61,2ae19629-3ef4-13a3-e055-000012000001,Y,CORK CITY SOUTH WEST,1340414,CORK,38893246.6516113,40736.1948088079
62,2ae19629-3f5e-13a3-e055-000000000001,Y,DONAGHMEDE,13260428,DUBLIN,9391520.18618774,21308.4119851567
63,2ae19629-3f47-13a3-e055-000000000001,Y,DONEGAL,1350404,DONEGAL,1090570024.14841,476246.249880696
64,2ae19629-3f13-13a3-e055-000000000001,Y,DROGHEDA RURAL,13140403,LOUTH,116963826.613159,76005.2509063637
65,2ae19629-3ef4-13a3-e055-997550000001,Y,DROGHEDA URBAN,13140404,LOUTH,9345859.4331665,17492.710324084
66,40aece0e-a19d-4e78-af9d-e129f5557496,N,DÚN LAOGHAIRE,13260409,DUBLIN,11537118.67453,33989.5603094129
67,4da0bce9-d4bd-47ec-bdd9-506dbfc65774,N,DUNDALK-CARLINGFORD,13140400,LOUTH,198496386.782043,109871.374808964
68,586997e6-b1be-42cc-b73d-c03f9abad412,N,DUNDALK SOUTH,13140401,LOUTH,122300784.856201,95563.6878132402
69,347867a1-33d7-4a6d-9e5a-15b239c1bd86,N,DUNDRUM,13260406,DUBLIN,8296794.23458862,16072.360206169
70,2ae19629-3f31-13a3-e055-000000000001,Y,DUNGARVAN,13220400,WATERFORD,401318721.184326,183352.710212086
71,2ae19629-3f23-13a3-e055-000000000001,Y,EDENDERRY,13180402,OFFALY,591116565.505585,142944.168236093
72,2ae19629-3f62-13a3-e055-000000000001,Y,ENNIS,1330403,CLARE,173025325.280579,111087.680675388
73,2ae19629-3ef4-13a3-e055-999550000001,Y,ENNISCORTHY,13240405,WEXFORD,422413195.626801,136903.365695871
74,2ae19629-3f5f-13a3-e055-000000000001,Y,ENNISTIMON,1330400,CLARE,906810623.191376,254677.520085003
75,2ae19629-3f64-13a3-e055-000000000001,Y,FERMOY,1340401,CORK,946152161.210999,230341.940976438
76,2ae19629-3f53-13a3-e055-000000000001,Y,FIRHOUSE-BOHERNABREENA,13260414,DUBLIN,54591719.7606506,39641.1121195706
77,2ae19629-3f69-13a3-e055-000000000001,Y,GALWAY CITY CENTRAL,1360421,GALWAY,19309004.3012085,27763.370843402
78,2ae19629-3f6a-13a3-e055-000000000001,Y,GALWAY CITY EAST,1360422,GALWAY,20306458.448822,33977.8116914391
79,2ae19629-3f4d-13a3-e055-000000000001,Y,GALWAY CITY WEST,1360420,GALWAY,11080414.4160461,25619.2048019744
80,72e71ecb-c6e3-47ee-a0de-ccbb51d918c5,N,GLENCULLEN-SANDYFORD,13260407,DUBLIN,54516218.6734924,38401.2216270545
81,2ae19629-3f43-13a3-e055-000000000001,Y,GLENTIES,1350400,DONEGAL,1309216683.20062,726744.840394553
82,2ae19629-3f39-13a3-e055-000000000001,Y,GOREY,13240400,WEXFORD,384165209.122284,117307.417207222
